epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3170.41,0.64166,0.35676,0.82287,0.69421,0.56322,0.55317,0.12517,3.22909,1.40591,1.79731,0.00107205,0.00107205,0.00107205
43,3242.91,0.69686,0.36988,0.8246,0.63392,0.50933,0.48442,0.10115,3.37565,1.51723,1.90731,0.00104705,0.00104705,0.00104705
44,3317.53,0.58125,0.34117,0.8176,0.66758,0.54582,0.52959,0.11541,3.27248,1.36931,1.77405,0.00102184,0.00102184,0.00102184
45,3392.64,0.55379,0.32845,0.81462,0.73653,0.60426,0.60378,0.13624,3.19867,1.37375,1.76437,0.000996456,0.000996456,0.000996456
46,3465.9,0.56033,0.32752,0.81344,0.7444,0.59049,0.60087,0.13446,3.18082,1.3623,1.73801,0.000970919,0.000970919,0.000970919
47,3538.66,0.52594,0.31722,0.81207,0.7742,0.62715,0.6432,0.15599,3.07964,1.30399,1.6903,0.000945256,0.000945256,0.000945256
48,3611.03,0.58333,0.33233,0.81567,0.67733,0.5542,0.54384,0.11555,3.33905,1.44009,1.84653,0.00091949,0.00091949,0.00091949
49,3685.29,0.55518,0.32648,0.81235,0.76014,0.61779,0.6285,0.14741,3.0894,1.28511,1.66755,0.000893648,0.000893648,0.000893648
50,3760.11,0.55348,0.32502,0.81254,0.64141,0.52761,0.51011,0.10396,3.4339,1.45042,1.91414,0.000867754,0.000867754,0.000867754
51,3833.52,0.5276,0.31718,0.81101,0.59722,0.48937,0.45616,0.0943,3.45705,1.47948,1.92406,0.000841835,0.000841835,0.000841835
52,3905.74,0.50618,0.30874,0.80729,0.60405,0.49521,0.46877,0.09502,3.46102,1.49143,1.94335,0.000815916,0.000815916,0.000815916
53,3976.4,0.50505,0.30412,0.80724,0.71873,0.594,0.58635,0.13009,3.24241,1.30078,1.74573,0.000790022,0.000790022,0.000790022
54,4051.03,0.54914,0.31462,0.80941,0.67138,0.55009,0.53613,0.11563,3.30017,1.36021,1.79846,0.00076418,0.00076418,0.00076418
55,4125.17,0.47431,0.29429,0.80397,0.68493,0.56399,0.5502,0.11655,3.30342,1.35643,1.7867,0.000738414,0.000738414,0.000738414
56,4198.54,0.53085,0.3079,0.80816,0.72399,0.59338,0.59074,0.13007,3.22655,1.344,1.73808,0.000712751,0.000712751,0.000712751
57,4270.51,0.5561,0.31557,0.81281,0.83236,0.679,0.71078,0.18648,2.90581,1.15263,1.54227,0.000687214,0.000687214,0.000687214
58,4342.77,0.49818,0.30028,0.80525,0.61211,0.50088,0.47075,0.09463,3.45459,1.46672,1.89823,0.000661831,0.000661831,0.000661831
59,4416.98,0.5558,0.31127,0.81274,0.7279,0.59892,0.59688,0.13197,3.16403,1.37057,1.67507,0.000636625,0.000636625,0.000636625
60,4492.2,0.49838,0.30328,0.80504,0.62496,0.50977,0.4867,0.0987,3.4071,1.40837,1.87199,0.000611621,0.000611621,0.000611621
61,4565.89,0.50424,0.29926,0.80679,0.7153,0.58492,0.58222,0.12322,3.2861,1.30987,1.77725,0.000586845,0.000586845,0.000586845
62,4638.99,0.545,0.30474,0.80989,0.6793,0.55324,0.54405,0.11524,3.33728,1.43617,1.82796,0.00056232,0.00056232,0.00056232
63,4711.33,0.44121,0.28539,0.80411,0.656,0.53178,0.52246,0.10976,3.36223,1.50418,1.85568,0.000538072,0.000538072,0.000538072
64,4786.58,0.47053,0.28473,0.80329,0.64889,0.5291,0.5146,0.10755,3.38126,1.53782,1.86077,0.000514122,0.000514122,0.000514122
65,4861.46,0.44717,0.28183,0.80315,0.67219,0.54855,0.53248,0.10901,3.36493,1.45958,1.82865,0.000490497,0.000490497,0.000490497
66,4934.35,0.47658,0.29249,0.80293,0.74025,0.60191,0.60304,0.13608,3.15797,1.3643,1.67399,0.000467218,0.000467218,0.000467218
67,5007.04,0.47123,0.28822,0.80327,0.72078,0.5888,0.58496,0.1305,3.22205,1.38202,1.74989,0.000444309,0.000444309,0.000444309
68,5078.98,0.45648,0.28287,0.80217,0.64066,0.52318,0.50569,0.10481,3.39162,1.54378,1.89294,0.000421792,0.000421792,0.000421792
69,5153.44,0.43249,0.27754,0.80155,0.69465,0.56797,0.56563,0.12124,3.26724,1.48538,1.77033,0.000399689,0.000399689,0.000399689
70,5228.02,0.45142,0.28531,0.80256,0.66491,0.54311,0.5291,0.10819,3.38729,1.51088,1.84967,0.000378023,0.000378023,0.000378023
71,5302.71,0.42462,0.27626,0.79993,0.63022,0.51288,0.49108,0.10056,3.4167,1.54891,1.89213,0.000356815,0.000356815,0.000356815
72,5374.22,0.46519,0.28099,0.80314,0.7386,0.60145,0.60498,0.1368,3.17468,1.44563,1.73419,0.000336086,0.000336086,0.000336086
73,5447.61,0.45273,0.2792,0.79965,0.75517,0.61871,0.62384,0.1425,3.1448,1.38072,1.70112,0.000315855,0.000315855,0.000315855
74,5523.19,0.43503,0.27628,0.80127,0.66979,0.5494,0.53117,0.10815,3.37197,1.46633,1.84415,0.000296144,0.000296144,0.000296144
75,5597.79,0.43745,0.27462,0.80065,0.72283,0.58895,0.58741,0.1252,3.25198,1.4141,1.76903,0.000276971,0.000276971,0.000276971
76,5670.04,0.47513,0.28332,0.80263,0.7111,0.57748,0.57603,0.12544,3.24394,1.42811,1.77141,0.000258355,0.000258355,0.000258355
77,5741.83,0.43007,0.27147,0.79977,0.68429,0.55842,0.54994,0.11609,3.32842,1.46323,1.83893,0.000240316,0.000240316,0.000240316
78,5815.27,0.40706,0.26564,0.79748,0.68124,0.55843,0.54703,0.11388,3.34284,1.43624,1.81541,0.00022287,0.00022287,0.00022287
79,5890.04,0.43252,0.26948,0.79984,0.66903,0.54661,0.53488,0.11217,3.32931,1.45023,1.7942,0.000206034,0.000206034,0.000206034
80,5963.81,0.41821,0.26505,0.79802,0.66821,0.5429,0.53376,0.11105,3.33459,1.52894,1.8248,0.000189827,0.000189827,0.000189827
81,6036.06,0.42116,0.2646,0.79887,0.66939,0.54406,0.53609,0.1106,3.3478,1.55149,1.84093,0.000174262,0.000174262,0.000174262
82,6109.23,0.38786,0.25595,0.79734,0.69235,0.56528,0.55986,0.11984,3.28833,1.47261,1.77214,0.000159357,0.000159357,0.000159357
83,6182.11,0.39973,0.26075,0.79809,0.70944,0.57963,0.57838,0.12428,3.25699,1.45013,1.74734,0.000145125,0.000145125,0.000145125
84,6257.38,0.41252,0.26263,0.79929,0.68152,0.55647,0.55227,0.11474,3.33907,1.522,1.82738,0.000131581,0.000131581,0.000131581
85,6331.48,0.40184,0.26026,0.79893,0.68345,0.55837,0.55477,0.11573,3.33383,1.53706,1.82902,0.000118737,0.000118737,0.000118737
86,6403.98,0.40511,0.25756,0.79735,0.73157,0.59697,0.60416,0.13223,3.22494,1.48639,1.746,0.000106608,0.000106608,0.000106608
87,6476.03,0.42218,0.26105,0.79864,0.74577,0.60859,0.6202,0.139,3.18283,1.44822,1.71156,9.52034e-05,9.52034e-05,9.52034e-05
88,6549.31,0.38021,0.25458,0.79767,0.70784,0.57766,0.57982,0.12388,3.28103,1.49693,1.78138,8.4536e-05,8.4536e-05,8.4536e-05
89,6624.24,0.35945,0.25042,0.79614,0.67912,0.55441,0.55166,0.11499,3.34055,1.54267,1.82677,7.4616e-05,7.4616e-05,7.4616e-05
90,6698.89,0.40029,0.25987,0.79839,0.70966,0.58064,0.58054,0.12273,3.2869,1.51054,1.79114,6.54531e-05,6.54531e-05,6.54531e-05
91,6763.28,0.37621,0.25335,0.79241,0.73212,0.59815,0.60453,0.1315,3.22924,1.49975,1.75473,5.70564e-05,5.70564e-05,5.70564e-05
92,6827.43,0.36178,0.24974,0.78998,0.74055,0.60179,0.61197,0.13446,3.20974,1.50465,1.73888,4.94343e-05,4.94343e-05,4.94343e-05
93,6892.5,0.38108,0.25214,0.79134,0.73916,0.59913,0.61015,0.13316,3.21481,1.50825,1.74054,4.25941e-05,4.25941e-05,4.25941e-05
94,6959.3,0.3627,0.24597,0.79041,0.71747,0.57997,0.58562,0.12441,3.27165,1.54787,1.78325,3.65426e-05,3.65426e-05,3.65426e-05
95,7025.84,0.37128,0.24678,0.79017,0.69795,0.56385,0.56307,0.11867,3.30905,1.56721,1.8109,3.12859e-05,3.12859e-05,3.12859e-05
96,7090.95,0.37548,0.24915,0.79201,0.69071,0.55847,0.55415,0.11527,3.33063,1.58433,1.82828,2.68292e-05,2.68292e-05,2.68292e-05
97,7155.71,0.36665,0.24616,0.79151,0.6945,0.56223,0.5581,0.11715,3.31757,1.57973,1.82081,2.31767e-05,2.31767e-05,2.31767e-05
98,7219.84,0.38203,0.24873,0.79281,0.70491,0.57161,0.56925,0.12028,3.2952,1.56854,1.80467,2.03321e-05,2.03321e-05,2.03321e-05
99,7286.32,0.37468,0.24732,0.79106,0.70627,0.57308,0.56996,0.12091,3.28972,1.57183,1.80179,1.82983e-05,1.82983e-05,1.82983e-05
100,7353.66,0.34397,0.23885,0.79004,0.70827,0.57506,0.57123,0.12188,3.28188,1.57508,1.7985,1.70772e-05,1.70772e-05,1.70772e-05
